C,Dm7,Em,F,G,Am,Dm,A,Bm,C7,G7,D,D7,E,B
C,,,F,G,Am,,,,,,,,,
C,,,F,G,Am,,,,,,,,,
,,,F,G,Am,,,,,G7,,,,
C,,,F,G,Am,,,,,,,,,
C,,Em,F,G,Am,,,,,,,,,
C,,Em,F,G,Am,,,,,,,,,
C,,Em,F,G,Am,,,,,,,,,
C,,Em,F,G,Am,,,,,,,,,
C,,Em,,G,,,A,Bm,,,,,,
C,,,F,,Am,Dm,,,,,,,,
C,,,,G,,,,,C7,G7,D,D7,,
C,,Em,F,,,,,,,,D,,,
C,,,F,G,,,A,,,,D,,,
C,,Em,F,,Am,,,,,,,,,
,,Em,,G,Am,,A,,,,,,E,B
,,,,,,,,,,G7,D,,,B
C,,,F,G,,Dm,,,C7,,,,E,
C,,Em,F,G,Am,,,,,,,,,
C,,Em,F,G,,Dm,,Bm,,,,,,
C,,,F,G,Am,,,,,,,,,
C,,,,G,Am,Dm,,,,,,,E,
,,Em,,,Am,,A,Bm,,,,,,
,,,,,Am,,,,,G7,,,,
C,,,,G,Am,,,,,,,D7,E,
C,,,,,Am,,,,C7,,,,,B
,,Em,,,,,,Bm,,,D,,,
,,,F,G,,,,,C7,,,D7,E,
C,,Em,,G,,Dm,,,C7,,D,,,
,Dm7,,,,,,,,,,,,,
C,Dm7,Em,F,,,Dm,A,,C7,,D,D7,E,
,,,F,G,,,,Bm,C7,G7,,,E,
C,Dm7,,,,Am,,A,,,,D,,,B
